dataset,feature_name,constant_type,non_missing_count,value
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_convergence_distance_mm_kurtosis,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_convergence_distance_mm_skew,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_convergence_distance_validity_kurtosis,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_convergence_distance_validity_skew,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_pupil_position_l_x_kurtosis,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_pupil_position_l_x_skew,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_validity_l_kurtosis,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_validity_l_skew,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_validity_r_kurtosis,all_nan,0,
full_multimodal_run_level_features.csv,eye_lslhtcviveeye_validity_r_skew,all_nan,0,
full_multimodal_run_level_features.csv,xplane_lslxp11xpcac_aircraft_landing_gear_kurtosis,all_nan,0,
full_multimodal_run_level_features.csv,xplane_lslxp11xpcac_aircraft_landing_gear_skew,all_nan,0,
full_multimodal_run_level_features.csv,ecg_lslshimmerecg_ecg_projection_la_ra_mv_missing_ratio,single_finite_value,487,0.0
full_multimodal_run_level_features.csv,ecg_lslshimmerecg_ecg_projection_la_ra_mv_num_missing,single_finite_value,487,0.0
full_multimodal_run_level_features.csv,ecg_lslshimmerecg_ecg_projection_ll_ra_mv_missing_ratio,single_finite_value,487,0.0
full_multimodal_run_level_features.csv,ecg_lslshimmerecg_ecg_projection_ll_ra_mv_num_missing,single_finite_value,487,0.0
full_multimodal_run_level_features.csv,ecg_lslshimmerecg_ecg_projection_vx_rl_mv_missing_ratio,single_finite_value,487,0.0
