relative_path,dataset_relative_path,file_name,extension,is_target_extension,dataset_area,analysis_folder,size_bytes,modified_time_utc
vrdataset/LICENSE.txt,LICENSE.txt,LICENSE.txt,txt,True,LICENSE.txt,.,2348,2022-08-24T09:05:10+00:00
vrdataset/SHA256SUMS.txt,SHA256SUMS.txt,SHA256SUMS.txt,txt,True,SHA256SUMS.txt,.,1942965,2022-08-25T03:32:34+00:00
vrdataset/dataPackage/task-ils/PerfMetrics.csv,dataPackage/task-ils/PerfMetrics.csv,PerfMetrics.csv,csv,True,dataPackage,dataPackage/task-ils,22689,2022-07-18T00:05:28+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,576,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,75,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,21890285,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_hea.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_hea.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,93,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,4220974,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_hea.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_hea.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,92,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,30448966,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_hea.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_hea.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,93,2022-07-18T00:07:52+00:00
vrdataset/dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,dataPackage/task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,csv,True,dataPackage,dataPackage/task-ils/sub-cp003/ses-20210206,12120003,2022-07-18T00:07:52+00:00
