run_key,subject_id,outer_fold,dimension,seed,levels,feature_k,target_score,ridge_alpha,ridge_prediction_raw,ridge_prediction_bounded
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,1000,42,51,50,1.0,0.1,0.9586649138046606,1.0
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,1000,42,51,50,1.0,0.1,1.3506682113504145,1.3506682113504145
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,1000,42,51,50,1.0,0.1,1.1691748241957265,1.1691748241957265
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,1000,42,51,50,2.0,0.1,1.9612252548810896,1.9612252548810896
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,1000,42,51,50,2.0,0.1,1.8779735355578109,1.8779735355578109
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,1000,42,51,50,2.0,0.1,2.6768078806192763,2.6768078806192763
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,1000,42,51,50,3.0,0.1,2.868936766694456,2.868936766694456
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,1000,42,51,50,3.0,0.1,2.8928932874281315,2.8928932874281315
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,1000,42,51,50,3.0,0.1,3.132468600362776,3.132468600362776
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,1000,42,51,50,4.0,0.1,3.931801745477447,3.931801745477447
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,1000,42,51,50,4.0,0.1,3.2601447346553685,3.2601447346553685
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,1000,42,51,50,4.0,0.1,3.544819156414092,3.544819156414092
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,1000,42,51,50,1.0,0.1,1.6497154079069922,1.6497154079069922
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,1000,42,51,50,1.0,0.1,1.0864590511798389,1.0864590511798389
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,1000,42,51,50,1.0,0.1,1.7570856898522205,1.7570856898522205
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,1000,42,51,50,2.0,0.1,2.58998673402236,2.58998673402236
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,1000,42,51,50,2.0,0.1,2.097633659387491,2.097633659387491
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,1000,42,51,50,2.0,0.1,2.713015736358533,2.713015736358533
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,1000,42,51,50,3.0,0.1,2.870769298669694,2.870769298669694
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,1000,42,51,50,3.0,0.1,2.9438796404060885,2.9438796404060885
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,1000,42,51,50,3.0,0.1,3.1445567860632884,3.1445567860632884
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,1000,42,51,50,4.0,0.1,2.938494728526749,2.938494728526749
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,1000,42,51,50,4.0,0.1,4.17293602583843,4.0
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,1000,42,51,50,4.0,0.1,3.1903760419252767,3.1903760419252767
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,1000,42,51,50,1.0,0.1,0.790165926628215,1.0
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,1000,42,51,50,1.0,0.1,1.0660800388995786,1.0660800388995786
