run_key,subject_id,outer_fold,dimension,seed,true_class,predicted_class,target_score,similarity_probability_0,similarity_probability_1,similarity_probability_2,similarity_probability_3,similarity_margin,similarity_prediction_raw,similarity_prediction_bounded,similarity_rounded_class,ridge_rounded_class,classification_similarity_agreement,classification_ridge_agreement,classification_similarity_absolute_difference,classification_ridge_absolute_difference,similarity_distance_to_nearest_integer,ridge_distance_to_nearest_integer,classification_margin_minus_similarity_integer_distance,classification_margin_minus_ridge_integer_distance
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,1000,42,0,0,1.0,0.40455459739137134,0.3817333169529895,0.1789485493529749,0.03476353630266414,0.0029032230377198376,1.8439210245669317,1.8439210245669317,1,0,0,1,0.8439210245669317,0.0,0.15607897543306826,0.0,-0.15317575239534842,0.0029032230377198376
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,1000,42,0,0,1.0,0.38537585129209656,0.23662980998183006,0.20123768943079262,0.17675664929528073,0.024386107921600342,2.1693751367292577,2.1693751367292577,1,0,0,1,1.1693751367292577,0.3506682113504145,0.16937513672925775,0.3506682113504145,-0.1449890288076574,-0.32628210342881414
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,1000,42,0,1,1.0,0.3770883393561993,0.4022257229035016,0.18482048617956115,0.035865451560737935,0.0032266974449157715,1.879463049944838,1.879463049944838,1,0,1,0,0.12053695005516207,0.8308251758042735,0.12053695005516207,0.1691748241957265,-0.1173102526102463,-0.16594812675081072
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,1000,42,1,2,2.0,0.26207728634852717,0.24935329843300483,0.31695404835072344,0.1716153668677446,0.009505867958068737,2.3981074957376856,2.3981074957376856,1,1,0,0,0.6018925042623144,1.0387747451189104,0.39810749573768556,0.038774745118910436,-0.3886016277796168,-0.0292688771608417
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,1000,42,1,1,2.0,0.2846355641929373,0.436532762351286,0.23892298498077655,0.039908688475000294,0.021382689476013184,2.03410479773784,2.03410479773784,1,1,1,1,0.03410479773783992,0.12202646444218912,0.03410479773783992,0.12202646444218912,-0.012722108261826737,-0.10064377496617594
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,1000,42,1,2,2.0,0.21532041074848104,0.3576166748330796,0.36107103403925705,0.06599188037918216,0.000480651855468639,2.2777343840491397,2.2777343840491397,1,2,0,1,0.7222656159508603,0.3231921193807237,0.27773438404913975,0.3231921193807237,-0.2772537321936711,-0.32271146752525504
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,1000,42,2,2,3.0,0.17537613682039715,0.31313396632919044,0.4233123013049921,0.08817759554542023,0.015073955059051403,2.424291355575435,2.424291355575435,1,2,0,1,0.5757086444245649,0.13106323330554392,0.42429135557543507,0.13106323330554392,-0.40921740051638367,-0.11598927824649252
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,1000,42,2,2,3.0,0.20468556158268147,0.19624507761286314,0.3713489987497097,0.22772036205474563,0.02445119619369507,2.6221041612765195,2.6221041612765195,2,2,1,1,0.37789583872348054,0.10710671257186855,0.37789583872348054,0.10710671257186855,-0.35344464252978547,-0.08265551637817348
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,1000,42,2,2,3.0,0.1733471201411144,0.3334129906042079,0.43168979878172653,0.06155009047295113,0.012916266918182373,2.3814428595865142,2.3814428595865142,1,2,0,1,0.6185571404134858,0.1324686003627762,0.38144285958651425,0.1324686003627762,-0.3685265926683319,-0.11955233344459382
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,1000,42,3,3,4.0,0.12635121809346633,0.09701337086408571,0.2083670174945784,0.5682683935478695,0.050164639949798584,3.218552586496851,3.218552586496851,2,3,0,1,0.7814474135031491,0.06819825452255301,0.21855258649685094,0.06819825452255301,-0.16838794654705236,-0.01803361457275443
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,1000,42,3,3,4.0,0.10750741152334874,0.07663649172355719,0.16234168138327365,0.6535144153698205,0.06963306665420543,3.361863100599566,3.361863100599566,2,2,0,0,0.6381368994004339,0.7398552653446315,0.36186310059956606,0.26014473465536847,-0.2922300339453606,-0.19051166800116304
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,1000,42,3,3,4.0,0.1406571607386925,0.09512042667433736,0.19567946874032754,0.5685429438466426,0.05332994461059559,3.19210819569492,3.19210819569492,2,3,0,1,0.80789180430508,0.45518084358590816,0.19210819569492,0.45518084358590816,-0.1387782510843244,-0.40185089897531256
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,1000,42,0,0,1.0,0.39903147322997884,0.23430874903736862,0.16016960840276076,0.2064901693298919,0.026620030403137318,2.174118473832566,2.174118473832566,1,1,0,0,1.174118473832566,0.6497154079069922,0.17411847383256607,0.3502845920930078,-0.14749844342942875,-0.32366456168987046
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,1000,42,0,0,1.0,0.3546852395855491,0.2015878378529581,0.16222111558332966,0.28150580697816313,0.01155388355255127,2.370547489954107,2.370547489954107,1,0,0,1,1.3705474899541068,0.08645905117983888,0.3705474899541068,0.08645905117983888,-0.35899360640155553,-0.0749051676272876
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,1000,42,0,0,1.0,0.3342316022847377,0.1966579810316237,0.17700226995316065,0.2921081467304779,0.006735503673553467,2.426986961129379,2.426986961129379,1,1,0,0,1.426986961129379,0.7570856898522205,0.42698696112937906,0.24291431014777953,-0.4202514574558256,-0.23617880647422607
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,1000,42,1,3,2.0,0.15506913032766248,0.11461461592826855,0.21781448643997828,0.5125017673040908,0.04278302192687988,3.0877488907204977,3.0877488907204977,2,2,0,0,0.9122511092795023,1.41001326597764,0.08774889072049774,0.4100132659776401,-0.04496586879361786,-0.3672302440507602
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,1000,42,1,0,2.0,0.28286598409770086,0.24281636794770453,0.267550213090255,0.20676743486433963,0.0027832984924316406,2.3982190987212335,2.3982190987212335,1,1,0,0,1.3982190987212335,1.097633659387491,0.3982190987212335,0.09763365938749091,-0.39543580022880187,-0.09485036089505927
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,1000,42,1,2,2.0,0.20645083581789928,0.3120502437152744,0.39494982180450816,0.08654909866231801,0.011779725551605114,2.3615971833112446,2.3615971833112446,1,2,0,1,0.6384028166887554,0.2869842636414668,0.3615971833112446,0.2869842636414668,-0.34981745775963946,-0.27520453808986167
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,1000,42,2,3,3.0,0.1367485815873127,0.14881607373100486,0.25300534891274307,0.46142999576893934,0.03004598617553711,3.039116758863309,3.039116758863309,2,2,0,0,0.960883241136691,1.129230701330306,0.03911675886330901,0.129230701330306,-0.0090707726877719,-0.0991847151547689
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,1000,42,2,3,3.0,0.24314827237341116,0.17438111406544118,0.27788398802389813,0.30458662553724947,0.00458759069442749,2.643908966724986,2.643908966724986,2,2,0,0,1.356091033275014,1.0561203595939115,0.356091033275014,0.056120359593911484,-0.3515034425805865,-0.051532768899483994
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,1000,42,2,3,3.0,0.15406286786863302,0.10974403707687753,0.2438858701807153,0.49230722487377415,0.03512012958526611,3.0744374520596307,3.0744374520596307,2,2,0,0,0.9255625479403693,0.8554432139367116,0.0744374520596307,0.14455678606328837,-0.03931732247436459,-0.10943665647802225
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,1000,42,3,3,4.0,0.1073100586754893,0.0721344213106529,0.1616838045748582,0.6588717154389996,0.07024431228637695,3.372117176777368,3.372117176777368,2,2,0,0,0.6278828232226319,1.061505271473251,0.3721171767773681,0.06150527147325091,-0.30187286449099116,0.008739040813126042
