subject_id,session_id,run_id,difficulty_level_raw,difficulty_level,run_key,target_class,target_score,outer_fold,performance_cumulative_cumulative_airspeed_error_kts,performance_cumulative_cumulative_glideslope_error_deg,performance_cumulative_cumulative_localizer_error_deg,performance_cumulative_cumulative_total_error,performance_perfmetric_airspeed_error_kts_iqr,performance_perfmetric_airspeed_error_kts_kurtosis,performance_perfmetric_airspeed_error_kts_max,performance_perfmetric_airspeed_error_kts_mean,performance_perfmetric_airspeed_error_kts_median,performance_perfmetric_airspeed_error_kts_min,performance_perfmetric_airspeed_error_kts_missing_ratio,performance_perfmetric_airspeed_error_kts_num_missing,performance_perfmetric_airspeed_error_kts_range,performance_perfmetric_airspeed_error_kts_rms,performance_perfmetric_airspeed_error_kts_skew,performance_perfmetric_airspeed_error_kts_slope,performance_perfmetric_airspeed_error_kts_std,performance_perfmetric_duration,performance_perfmetric_glideslope_error_deg_iqr,performance_perfmetric_glideslope_error_deg_kurtosis,performance_perfmetric_glideslope_error_deg_max,performance_perfmetric_glideslope_error_deg_mean,performance_perfmetric_glideslope_error_deg_median,performance_perfmetric_glideslope_error_deg_min,performance_perfmetric_glideslope_error_deg_missing_ratio,performance_perfmetric_glideslope_error_deg_num_missing,performance_perfmetric_glideslope_error_deg_range,performance_perfmetric_glideslope_error_deg_rms,performance_perfmetric_glideslope_error_deg_skew,performance_perfmetric_glideslope_error_deg_slope,performance_perfmetric_glideslope_error_deg_std,performance_perfmetric_localizer_error_deg_iqr,performance_perfmetric_localizer_error_deg_kurtosis,performance_perfmetric_localizer_error_deg_max,performance_perfmetric_localizer_error_deg_mean,performance_perfmetric_localizer_error_deg_median,performance_perfmetric_localizer_error_deg_min,performance_perfmetric_localizer_error_deg_missing_ratio,performance_perfmetric_localizer_error_deg_num_missing,performance_perfmetric_localizer_error_deg_range,performance_perfmetric_localizer_error_deg_rms,performance_perfmetric_localizer_error_deg_skew,performance_perfmetric_localizer_error_deg_slope,performance_perfmetric_localizer_error_deg_std,performance_perfmetric_sample_count,performance_perfmetric_sampling_rate_estimate,performance_perfmetric_total_error_iqr,performance_perfmetric_total_error_kurtosis,performance_perfmetric_total_error_max,performance_perfmetric_total_error_mean,performance_perfmetric_total_error_median,performance_perfmetric_total_error_min,performance_perfmetric_total_error_missing_ratio,performance_perfmetric_total_error_num_missing,performance_perfmetric_total_error_range,performance_perfmetric_total_error_rms,performance_perfmetric_total_error_skew,performance_perfmetric_total_error_slope,performance_perfmetric_total_error_std
sub-cp003,ses-20210206,run-001,level-01B,1,sub-cp003_ses-20210206_level-01B_run-001,0,1.0,4,629.8226,469.3623,525.3626,1624.5474,0.74215,-0.2491926235765378,1.217,-0.0441711633663366,-0.08285,-0.6242,0.0,0.0,1.8412,0.4661728109731348,0.6988412429613634,-0.0002330006715126,0.4642190771355723,358.7972491979599,0.537525,-0.8968727280787565,0.6665,-0.0073615717821782,-0.07365,-0.5702,0.0,0.0,1.2367,0.3444024216320061,0.3131139785848055,0.0019885882670364,0.3444303214445662,0.3879999999999999,-1.0477038026485808,0.7416,0.3224126856435644,0.349,-0.0479,0.0,0.0,0.7895000000000001,0.3823328180313741,-0.0384262560662045,0.0004484426799805,0.205559216585356,1616.0,4.501149336038953,0.5558749999999999,0.0079796321883329,2.1329,1.0052873762376238,0.9539,0.385,0.0,0.0,1.7478999999999998,1.0816997045182877,0.7874081540030423,0.001895220773069,0.3994624962634631
sub-cp003,ses-20210206,run-007,level-01B,1,sub-cp003_ses-20210206_level-01B_run-007,0,1.0,4,844.6968,527.0998,390.4452,1762.2418,0.3971,-0.2382888946196719,0.1375,-0.4937116002379536,-0.5035,-1.6672,0.0,0.0,1.8047,0.5704854817208352,0.1835357012321058,-0.0007854607871203,0.2859216205700471,373.1567569077015,0.5417000000000001,-0.8320864106579826,0.8323,0.086902736466389,0.0241,-0.5555,0.0,0.0,1.3878,0.3802783533651009,0.3380816704135828,0.0022055074302287,0.3703256992061275,0.3152,1.1576609177469015,1.0394,0.1467480071386079,0.0915,-0.4478,0.0,0.0,1.4872,0.3381064536204152,0.9630214645971876,-8.521887762001741e-05,0.3046903726148578,1681.0,4.502129383699033,0.4957999999999999,0.2122215059932877,2.2136,1.0483303390838787,1.007,0.1138,0.0,0.0,2.0998,1.149077785079408,0.4525464961962102,0.0023751412337931,0.4706538346461094
sub-cp003,ses-20210206,run-012,level-01B,1,sub-cp003_ses-20210206_level-01B_run-012,0,1.0,4,879.2509,529.471,170.3352,1579.0571,0.4085,0.4996974170386612,0.4163,-0.4576774116237267,-0.5253,-2.0467,0.0,0.0,2.463,0.5818060290358021,0.7839880326902094,-0.0007046972864593,0.3593146228759427,370.5137014389038,0.5671999999999999,-1.076802768561605,0.6969,0.0914973037747154,0.1264,-0.5613,0.0,0.0,1.2582,0.3667873976663843,-0.1947474278057617,0.0011975265645423,0.3552982897833057,0.1707,-0.6551619269963531,0.2556,-0.0073842420611144,-0.0171,-0.2505,0.0,0.0,0.5061,0.1243172290520712,0.0765224019250865,-5.6678065935067216e-05,0.1241349232488735,1669.0,4.501857808556768,0.4368000000000001,-0.5467090661363652,2.1876,0.9461105452366688,0.9599,0.3782,0.0,0.0,1.8094,0.9882903077035506,-0.0428501559545809,0.001252855152717,0.2857297410153898
sub-cp003,ses-20210206,run-003,level-02B,2,sub-cp003_ses-20210206_level-02B_run-003,1,2.0,4,532.2389,423.0488,311.9388,1267.2265,0.3692999999999999,27.41988635354396,0.1011,-0.2905031093836757,-0.2716,-3.0,0.0,0.0,3.1011,0.4013289067714006,-3.3013144419204377,-0.0006126997845263,0.2769755058991753,393.83072443306446,0.331,0.1092096655733749,0.8431,0.0614077734591893,0.0027,-0.5165,0.0,0.0,1.3596,0.3144055429029625,0.7707627268605667,-0.0006073675443792,0.3084359786903124,0.2627,0.6802337856909304,0.7524,0.1240119933370349,0.0788,-0.2499,0.0,0.0,1.0023,0.2437587126306311,0.9071287988880788,0.0005250986963947,0.209913796091189,1801.0,4.570491554693134,0.4935,4.440777679965569,3.1888,0.7036240421987785,0.7123,0.0338,0.0,0.0,3.155,0.8027156020424384,1.145982562365342,0.0017451660253003,0.3864562980532015
sub-cp003,ses-20210206,run-008,level-02B,2,sub-cp003_ses-20210206_level-02B_run-008,1,2.0,4,730.6059,436.4551,256.7291,1423.7901,0.3802,2.975174381556858,0.2202,-0.3935463601532566,-0.3777,-2.2212,0.0,0.0,2.4414,0.4695020107817205,-0.6683894298202921,-0.0010774064907386,0.2561040814561469,401.70539505779743,0.4091,-0.6453732157039509,0.6181,-0.0954687465790913,-0.1014,-0.6809,0.0,0.0,1.299,0.2897507509743547,0.0260585066340062,0.0017975860142383,0.2736461264919474,0.24885,-0.6999718253890781,0.4227,0.0557200875752599,-0.0038,-0.2631,0.0,0.0,0.6858,0.1793216204109198,0.4956531723495818,5.451756503506513e-05,0.1704917162451214,1827.0,4.545619806120042,0.5786500000000001,0.2440818305874814,2.4094,0.7793064039408867,0.7698,0.1025,0.0,0.0,2.3069,0.86230404083457,0.4863511840272466,0.0024117176715055,0.3692213484462299
sub-cp003,ses-20210206,run-010,level-02B,2,sub-cp003_ses-20210206_level-02B_run-010,1,2.0,4,431.2224,535.9633,247.2404,1214.4261,0.38255,0.7056537069729125,0.2054,-0.2125507945516458,-0.10545,-1.4514,0.0,0.0,1.6568,0.3488786842069662,-1.0422815347097638,0.0004061396145037,0.2767344559615721,391.24476984143257,0.46295,-0.1580817766485642,0.9346,0.1408488649262202,0.1735499999999999,-0.7261,0.0,0.0,1.6606999999999998,0.3665856977526834,-0.079331011212601,-0.0006676127583912,0.338543523676749,0.190325,0.1832438519761758,0.3843,-0.006422133938706,-0.026,-0.4704,0.0,0.0,0.8547,0.1821774345257866,0.0419050986744451,3.1438119939558725e-05,0.1821158886157415,1762.0,4.501018635249015,0.328425,-0.0481684049628561,1.6392,0.6892337116912599,0.6628000000000001,0.0902,0.0,0.0,1.549,0.7505524774885798,0.4525990721959977,0.0002929112638271,0.2972138053613969
sub-cp003,ses-20210206,run-002,level-03B,3,sub-cp003_ses-20210206_level-03B_run-002,2,3.0,4,588.0965,602.7464,321.2262,1512.0691,0.430475,2.996108717873332,1.0669,-0.1724100758396533,-0.1840999999999999,-2.5517,0.0,0.0,3.6186,0.4160758523489544,-0.1818689801258446,-0.001061496375851,0.3787764524325563,400.6608121097088,0.448575,3.455829944509178,1.7892,0.1026886240520043,0.08595,-0.7162,0.0,0.0,2.5054,0.4780785559687233,1.4394590437385013,0.0015287245008435,0.4670463756625985,0.320975,-1.1433916775163913,0.3139,-0.0068649512459371,-0.0183499999999999,-0.412,0.0,0.0,0.7259,0.1968385856003554,-0.2825388444990104,0.0002880241753426,0.1967721421201448,1846.0,4.604892578051289,0.59295,1.0972877735451547,2.8231,0.8191059046587216,0.7127,0.1162,0.0,0.0,2.7069,0.9298041348721524,1.0202288307768577,0.0023910499131561,0.4401206415328955
sub-cp003,ses-20210206,run-005,level-03B,3,sub-cp003_ses-20210206_level-03B_run-005,2,3.0,4,539.1892,537.2284,474.8505,1551.268,0.4115,0.8104758107251469,0.5264,-0.2159065591397849,-0.18525,-1.8381,0.0,0.0,2.3645,0.3758648912912409,-0.492655966156576,-0.0015026479805456,0.3077494003500305,406.8151742219925,0.513775,0.1032383599407729,1.2594,0.0541834946236559,0.0308999999999999,-0.6591,0.0,0.0,1.9185,0.3594969437185951,0.3685964150229613,0.0033356671186004,0.3554857836681347,0.318225,-0.0507172522601266,0.3651,-0.1885252688172043,-0.1648,-0.9223,0.0,0.0,1.2874,0.3212200461245501,-0.3180677877407564,0.0001088946598039,0.2601478935029275,1860.0,4.569642721796738,0.453,1.2058107347702671,2.123,0.834015752688172,0.76735,0.0634,0.0,0.0,2.0596,0.9067437262487114,0.8475806205391746,0.0044673849825677,0.3559073074778162
sub-cp003,ses-20210206,run-011,level-03B,3,sub-cp003_ses-20210206_level-03B_run-011,2,3.0,4,652.2495,699.2191,387.0505,1738.5191,0.437325,2.151844294972731,1.0238,-0.2595006543075245,-0.198,-2.6803,0.0,0.0,3.7041,0.4821088351516675,-0.8637818500849287,-0.0007639981512408,0.4064214609315512,413.7444566935301,0.557725,-0.22327157532921,0.6831,-0.1951347873500545,-0.20065,-1.254,0.0,0.0,1.9371,0.4824132924955996,-0.4038280141851868,0.0017682412130585,0.4413062302406244,0.25355,1.7197743933386294,0.5302,-0.1285913849509269,-0.08585,-1.0676,0.0,0.0,1.5978,0.294401432905544,-0.8248554670151143,-0.0005452641028786,0.2649051200350342,1834.0,4.430270835888793,0.592475,0.1627359276617852,2.9524,0.9479377317339148,0.8351,0.0599,0.0,0.0,2.8925,1.0703884604833322,0.8576544249145562,0.0017278781345209,0.4972729072142363
sub-cp003,ses-20210206,run-004,level-04B,4,sub-cp003_ses-20210206_level-04B_run-004,3,4.0,4,613.758,759.4882,555.4108,1928.657,0.54095,0.8909522397078322,1.4275,0.017563453815261,-0.0062,-2.2314,0.0,0.0,3.6589,0.4639699920250372,-0.0558141903366347,0.0001698486513091,0.4637705001376629,385.0486859679222,0.2675999999999999,-0.0494190899585533,0.0209,-0.4355825014343086,-0.415,-0.9618,0.0,0.0,0.9827,0.4814789167202728,-0.3906220767613105,-0.0004817572602116,0.2052169424697494,0.55945,-0.7658184978586715,0.7093,-0.049695238095238,-0.0582,-0.8522,0.0,0.0,1.5615,0.390464879720179,-0.0392277779598673,0.0011666057212241,0.3874007093787245,1743.0,4.524103219885091,0.55,-0.2627607840268879,2.597,1.1065169248422262,1.0852,0.0401,0.0,0.0,2.5569,1.1778497124106355,0.1817618843052609,0.0011679042583136,0.4037868027897711
