modality,run_key,subject_id,outer_fold,target_class,modality_available,class_score_0,class_score_1,class_score_2,class_score_3,predicted_class,classification_confidence,similarity_margin
body_movement,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,4,0,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,4,0,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,4,0,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,4,1,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,4,1,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,4,1,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,4,2,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,4,2,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,4,2,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,4,3,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-04B_run-006,sub-cp003,4,3,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp003_ses-20210206_level-04B_run-009,sub-cp003,4,3,False,0.9497463960000001,0.9496343360000001,0.942452494,0.9510350320000001,3,0.9510350320000001,0.0012886359999999542
body_movement,sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,0,True,0.8369020020000001,0.8239813,0.8292564200000001,0.826229828,0,0.8369020020000001,0.007645581999999984
body_movement,sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,0,True,0.8937312260000001,0.88620977,0.8665322679999999,0.883851782,0,0.8937312260000001,0.007521456000000093
body_movement,sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,0,True,0.8817985199999999,0.8701390999999999,0.85445531,0.868859784,0,0.8817985199999999,0.011659419999999976
body_movement,sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,1,True,0.87817542,0.889097074,0.872646926,0.8858459,1,0.889097074,0.003251174000000079
body_movement,sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,1,True,0.8700930360000001,0.861119564,0.8624061600000001,0.8617890320000001,0,0.8700930360000001,0.007686875999999954
body_movement,sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,1,True,0.8801093440000001,0.895267162,0.880363268,0.89709304,3,0.89709304,0.001825878000000003
body_movement,sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,2,True,0.8778720400000001,0.90022625,0.882180438,0.893308504,1,0.90022625,0.006917746000000058
body_movement,sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,2,True,0.8292836640000001,0.8192507880000001,0.8302484719999998,0.8270382460000001,2,0.8302484719999998,0.0009648079999997616
body_movement,sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,2,True,0.8856317499999999,0.884050756,0.868108634,0.8798126039999999,0,0.8856317499999999,0.0015809939999998912
body_movement,sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,3,True,0.892663972,0.8639634300000001,0.8585709659999999,0.8723458479999999,0,0.892663972,0.020318124000000104
body_movement,sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,3,True,0.8885790700000001,0.8739732480000001,0.8544966800000001,0.877668788,0,0.8885790700000001,0.010910282000000104
body_movement,sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,3,True,0.839248452,0.825678628,0.838023394,0.8331635580000001,0,0.839248452,0.0012250579999999456
body_movement,sub-cp005_ses-20210226_level-01B_run-001,sub-cp005,5,0,True,0.89533304,0.8812324,0.907956276,0.9078092099999999,2,0.907956276,0.000147066000000029
body_movement,sub-cp005_ses-20210226_level-01B_run-007,sub-cp005,5,0,True,0.897036168,0.885130822,0.906827214,0.906832438,3,0.906832438,5.224000000025875e-06
body_movement,sub-cp005_ses-20210226_level-01B_run-012,sub-cp005,5,0,True,0.890231666,0.8821103640000001,0.899521554,0.898232492,2,0.899521554,0.0012890620000000075
body_movement,sub-cp005_ses-20210226_level-02B_run-003,sub-cp005,5,1,True,0.89118417,0.871452752,0.879032456,0.8797218600000001,0,0.89118417,0.011462309999999976
body_movement,sub-cp005_ses-20210226_level-02B_run-008,sub-cp005,5,1,True,0.89985826,0.8829899940000001,0.909281394,0.8994952700000001,2,0.909281394,0.009423133999999944
body_movement,sub-cp005_ses-20210226_level-02B_run-010,sub-cp005,5,1,True,0.8869850079999999,0.878529944,0.896587738,0.9019367739999999,3,0.9019367739999999,0.005349035999999918
body_movement,sub-cp005_ses-20210226_level-03B_run-002,sub-cp005,5,2,True,0.899924322,0.870246128,0.886436926,0.888875468,0,0.899924322,0.011048854000000108
body_movement,sub-cp005_ses-20210226_level-03B_run-005,sub-cp005,5,2,True,0.8989543680000001,0.8819708719999999,0.901976752,0.901155232,2,0.901976752,0.00082152000000002
body_movement,sub-cp005_ses-20210226_level-03B_run-011,sub-cp005,5,2,True,0.905227182,0.8789611560000001,0.9064516140000001,0.9031250319999999,2,0.9064516140000001,0.0012244320000001085
body_movement,sub-cp005_ses-20210226_level-04B_run-004,sub-cp005,5,3,True,0.8839499139999999,0.868034654,0.8775965400000001,0.8798608399999999,0,0.8839499139999999,0.004089074000000026
body_movement,sub-cp005_ses-20210226_level-04B_run-006,sub-cp005,5,3,True,0.895536596,0.884845844,0.904612004,0.9023363679999999,2,0.904612004,0.0022756360000000253
body_movement,sub-cp005_ses-20210226_level-04B_run-009,sub-cp005,5,3,True,0.89248022,0.884961182,0.899276682,0.901578306,3,0.901578306,0.002301624000000002
body_movement,sub-cp006_ses-20210324_level-01B_run-001,sub-cp006,4,0,True,0.49123011400000005,0.5359085140000001,0.514543258,0.49216796399999996,1,0.5359085140000001,0.021365256000000055
body_movement,sub-cp006_ses-20210324_level-01B_run-007,sub-cp006,4,0,True,0.47776633,0.491524302,0.49475441800000003,0.481691588,2,0.49475441800000003,0.003230116000000005
body_movement,sub-cp006_ses-20210324_level-01B_run-012,sub-cp006,4,0,True,0.49006699200000003,0.5214798,0.509526412,0.523836728,3,0.523836728,0.0023569279999999804
body_movement,sub-cp006_ses-20210324_level-02B_run-003,sub-cp006,4,1,True,0.494562508,0.53560816,0.506170174,0.497901024,1,0.53560816,0.029437986000000027
body_movement,sub-cp006_ses-20210324_level-02B_run-008,sub-cp006,4,1,True,0.49655599200000006,0.5182814600000001,0.514543564,0.494261076,1,0.5182814600000001,0.003737896000000074
body_movement,sub-cp006_ses-20210324_level-02B_run-010,sub-cp006,4,1,True,0.49019777600000003,0.5105025480000001,0.524211686,0.49088087399999997,2,0.524211686,0.013709137999999954
