consolidated_outer_fold,candidate_id,variant,dimension,centroids_per_class,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status
1,candidate_001,multicentroid,2000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8821999588279695,0.716611718426778,0.8341806994532037,0.8109974589026504,0.0851936812305309,0.8132008816380342,0.8126361655773421,0.0302935989210498,0.4431714999664109,0.0020445999980438,64000,COMPLETE
1,candidate_002,multicentroid,2000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8210288281979458,0.7229199602479064,0.8800614193109122,0.8080034025855881,0.0793763555688964,0.8116044576278169,0.8115468409586057,0.024120759414877,0.4140124000259675,0.0032463999523315,96000,COMPLETE
1,candidate_003,multicentroid,2000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8575917252146761,0.6956919000411166,0.8719083933830707,0.8083973395462878,0.0978679151581422,0.8105676403136544,0.810405643738977,0.0302935989210498,0.4494847999885678,0.0020963000133633,128000,COMPLETE
1,candidate_004,multicentroid,5000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8992524414484486,0.6926829057726094,0.8885236007877517,0.82681964933627,0.1162896232940758,0.8310125104711682,0.8305840854860462,0.0302935989210498,0.6992059999611229,0.0092875999980606,160000,COMPLETE
1,candidate_005,multicentroid,5000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.845879851143009,0.7324379671579592,0.8613551256046186,0.8132243146351955,0.0703896049424211,0.81741372444005,0.816863782550057,0.0300082996161427,0.8535979999869596,0.0100658999872393,240000,COMPLETE
1,candidate_006,multicentroid,5000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8486418922167204,0.7101142692546467,0.8791717541717541,0.8126426385477071,0.0900947723243084,0.8168575509139098,0.816863782550057,0.032809420064322,1.0669936999911442,0.0093960000085644,320000,COMPLETE
2,candidate_001,multicentroid,2000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7408377100840335,0.7572096888294522,0.8874821952241307,0.7951765313792055,0.0803570911954842,0.7982332907620263,0.7986824359373378,0.0325241207594148,0.3506227000034414,0.0021458000119309,64000,COMPLETE
2,candidate_002,multicentroid,2000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.719324712904539,0.7710834762721555,0.8506901643554186,0.7803661178440376,0.0661728496789837,0.7809280544912728,0.7810198153335408,0.0440139018570391,0.4080948000191711,0.0020567000319715,96000,COMPLETE
2,candidate_003,multicentroid,2000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7318027210884354,0.7258292464272531,0.8379342431761787,0.7651887368972892,0.0630702157338226,0.7676777352064708,0.7681035377113808,0.032809420064322,0.4422953999892343,0.0018454999953974,128000,COMPLETE
2,candidate_004,multicentroid,5000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7673747914736329,0.7572151628450161,0.8596845649477228,0.7947581730887906,0.0564569019990697,0.7973073648361004,0.7978265380226165,0.032809420064322,0.7138651999994181,0.009673799999291,160000,COMPLETE
2,candidate_005,multicentroid,5000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7529570163150398,0.7830274131802024,0.8980895343863045,0.8113579879605156,0.0766017496599371,0.8133354618986802,0.8135439360929556,0.0358958398174084,0.8477753999759443,0.0093019999912939,240000,COMPLETE
2,candidate_006,multicentroid,5000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7861584277255422,0.7653768075128866,0.7685927067282999,0.7733759806555763,0.0111860947950249,0.7723818646232439,0.7725645813881109,0.0471003216101255,1.0170501999964472,0.0093512999883387,320000,COMPLETE
3,candidate_001,multicentroid,2000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8129538761891703,0.8052068302068301,0.7633201105902151,0.7938269389954051,0.0267021368970894,0.79561562320183,0.7964000414980807,0.0420686793235812,0.3523134999850299,0.0030595000134781,64000,COMPLETE
3,candidate_002,multicentroid,2000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7546398410332835,0.8258343853025947,0.7636336815056272,0.7813693026138351,0.038769575384561,0.7821898142300441,0.7829650378669987,0.0330947193692291,0.4114158999582287,0.0027054999954998,96000,COMPLETE
3,candidate_003,multicentroid,2000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7875609713303156,0.8346274355374448,0.752635352478394,0.7916079197820514,0.0411455801383189,0.7940317132845869,0.7941695196597157,0.032809420064322,0.4446227000153158,0.0026937999937217,128000,COMPLETE
3,candidate_004,multicentroid,5000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7947636099561219,0.796690867003367,0.7685141972257085,0.7866562247283991,0.0157409800000771,0.7898600175899025,0.7907978006017222,0.0420686793235812,0.701519299967913,0.0090493999887257,160000,COMPLETE
3,candidate_005,multicentroid,5000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7976281588752179,0.8060375904875425,0.7339035614245698,0.7791897702624434,0.0394437595595452,0.7810212669408072,0.781538541342463,0.032809420064322,0.8436788000108209,0.0099971999879926,240000,COMPLETE
3,candidate_006,multicentroid,5000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7544584500466853,0.8157168412982367,0.700250334140086,0.756808541828336,0.0577691160341099,0.7605245860992987,0.7613600995953936,0.039267558875402,1.024831600021571,0.0092582000361289,320000,COMPLETE
4,candidate_001,multicentroid,2000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8240533659888499,0.7779774383547969,0.8963882059097902,0.8328063367511457,0.0596886785003225,0.8337141944900566,0.8331517792302107,0.0302935989210498,0.3632846999971661,0.002920900034951,64000,COMPLETE
4,candidate_002,multicentroid,2000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8303853897037676,0.8055992313067785,0.8785811382667367,0.838188586425761,0.0371114146212401,0.8400632838851229,0.8390393194314764,0.032809420064322,0.4092705999792088,0.0028426999924704,96000,COMPLETE
4,candidate_003,multicentroid,2000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7519708361813624,0.7983989717480284,0.8041446760786384,0.7848381613360097,0.0286085490138818,0.7866624329268008,0.7860514576200851,0.032809420064322,0.4493304000061471,0.0019719999691005,128000,COMPLETE
4,candidate_004,multicentroid,5000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.821559389102337,0.8042217042217041,0.8870132909686662,0.8375981280975692,0.043663973369791,0.8402846195949644,0.8393246187363834,0.0210343396617906,0.6943649000313599,0.0091387000284157,160000,COMPLETE
4,candidate_005,multicentroid,5000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7574302746433894,0.787737094141035,0.8312266894660726,0.7921313527501658,0.0370939326806059,0.7931684747776702,0.792224297126258,0.0238354601099699,0.8347098999947775,0.0095080999890342,240000,COMPLETE
4,candidate_006,multicentroid,5000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8037170930663701,0.7682282003710574,0.8151239111765428,0.7956897348713236,0.0244567124258682,0.7971273724147286,0.7966853408029878,0.0207490403568834,1.026204299996607,0.0097146000189241,320000,COMPLETE
5,candidate_001,multicentroid,2000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8754523642551804,0.8226276359600444,0.7240896358543417,0.8073898786898556,0.0768232440229219,0.8104292835661022,0.8101851851851851,0.0395061728395061,0.4277208999847062,0.0025890000106301,64000,COMPLETE
5,candidate_002,multicentroid,2000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8513838071113613,0.7376373626373627,0.7930267136094205,0.7940159611193814,0.0568796744505107,0.7953607574946099,0.795679012345679,0.0395061728395061,0.4328417999786325,0.0025029999960679,96000,COMPLETE
5,candidate_003,multicentroid,2000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8930059523809524,0.7879182138616101,0.7545056497175141,0.8118099386533588,0.0722751295025439,0.8128149933396503,0.8126543209876544,0.0336419753086419,0.480316099972697,0.0019677999953273,128000,COMPLETE
5,candidate_004,multicentroid,5000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8917754931925534,0.8609334422027921,0.7232191567297951,0.8253093640417135,0.0897475116594138,0.8284263035746166,0.8280864197530864,0.0429012345679012,0.720676299999468,0.0095425999897997,160000,COMPLETE
5,candidate_005,multicentroid,5000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8595979612296334,0.8322751322751323,0.7901122291021672,0.8273284408689777,0.0350059860484359,0.8290985182438648,0.829320987654321,0.045679012345679,0.845244400028605,0.0098511000105645,240000,COMPLETE
5,candidate_006,multicentroid,5000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8437639946260636,0.8305679298394699,0.8011212516297264,0.82515105869842,0.0218313479263643,0.82680859391093,0.8268518518518518,0.0305555555555555,1.0301175999920815,0.0096334999834652,320000,COMPLETE
