run_key,missing_feature_count,missing_feature_ratio
sub-cp003_ses-20210206_level-01B_run-001,478,0.38704453441295544
sub-cp003_ses-20210206_level-01B_run-007,476,0.3854251012145749
sub-cp003_ses-20210206_level-01B_run-012,476,0.3854251012145749
sub-cp003_ses-20210206_level-02B_run-003,476,0.3854251012145749
sub-cp003_ses-20210206_level-02B_run-008,478,0.38704453441295544
sub-cp003_ses-20210206_level-02B_run-010,478,0.38704453441295544
sub-cp003_ses-20210206_level-03B_run-002,478,0.38704453441295544
sub-cp003_ses-20210206_level-03B_run-005,478,0.38704453441295544
sub-cp003_ses-20210206_level-03B_run-011,478,0.38704453441295544
sub-cp003_ses-20210206_level-04B_run-004,478,0.38704453441295544
sub-cp003_ses-20210206_level-04B_run-006,478,0.38704453441295544
sub-cp003_ses-20210206_level-04B_run-009,476,0.3854251012145749
sub-cp004_ses-20210330_level-01B_run-001,18,0.014574898785425101
sub-cp004_ses-20210330_level-01B_run-007,18,0.014574898785425101
sub-cp004_ses-20210330_level-01B_run-012,18,0.014574898785425101
sub-cp004_ses-20210330_level-02B_run-003,20,0.016194331983805668
sub-cp004_ses-20210330_level-02B_run-008,18,0.014574898785425101
sub-cp004_ses-20210330_level-02B_run-010,18,0.014574898785425101
sub-cp004_ses-20210330_level-03B_run-002,20,0.016194331983805668
sub-cp004_ses-20210330_level-03B_run-005,18,0.014574898785425101
sub-cp004_ses-20210330_level-03B_run-011,20,0.016194331983805668
sub-cp004_ses-20210330_level-04B_run-004,20,0.016194331983805668
sub-cp004_ses-20210330_level-04B_run-006,20,0.016194331983805668
sub-cp004_ses-20210330_level-04B_run-009,18,0.014574898785425101
sub-cp005_ses-20210226_level-01B_run-001,16,0.012955465587044534
sub-cp005_ses-20210226_level-01B_run-007,60,0.048582995951417005
sub-cp005_ses-20210226_level-01B_run-012,60,0.048582995951417005
sub-cp005_ses-20210226_level-02B_run-003,60,0.048582995951417005
sub-cp005_ses-20210226_level-02B_run-008,60,0.048582995951417005
sub-cp005_ses-20210226_level-02B_run-010,60,0.048582995951417005
sub-cp005_ses-20210226_level-03B_run-002,60,0.048582995951417005
sub-cp005_ses-20210226_level-03B_run-005,60,0.048582995951417005
sub-cp005_ses-20210226_level-03B_run-011,60,0.048582995951417005
sub-cp005_ses-20210226_level-04B_run-004,60,0.048582995951417005
sub-cp005_ses-20210226_level-04B_run-006,60,0.048582995951417005
sub-cp005_ses-20210226_level-04B_run-009,64,0.051821862348178135
sub-cp006_ses-20210324_level-01B_run-001,16,0.012955465587044534
sub-cp006_ses-20210324_level-01B_run-007,16,0.012955465587044534
sub-cp006_ses-20210324_level-01B_run-012,16,0.012955465587044534
sub-cp006_ses-20210324_level-02B_run-003,16,0.012955465587044534
sub-cp006_ses-20210324_level-02B_run-008,16,0.012955465587044534
sub-cp006_ses-20210324_level-02B_run-010,16,0.012955465587044534
sub-cp006_ses-20210324_level-03B_run-002,16,0.012955465587044534
sub-cp006_ses-20210324_level-03B_run-005,16,0.012955465587044534
sub-cp006_ses-20210324_level-03B_run-011,16,0.012955465587044534
sub-cp006_ses-20210324_level-04B_run-004,18,0.014574898785425101
sub-cp006_ses-20210324_level-04B_run-006,18,0.014574898785425101
sub-cp006_ses-20210324_level-04B_run-009,16,0.012955465587044534
sub-cp008_ses-20210503_level-01B_run-001,58,0.04696356275303644
sub-cp008_ses-20210503_level-01B_run-007,18,0.014574898785425101
sub-cp008_ses-20210503_level-01B_run-012,16,0.012955465587044534
sub-cp008_ses-20210503_level-02B_run-003,58,0.04696356275303644
sub-cp008_ses-20210503_level-02B_run-008,16,0.012955465587044534
sub-cp008_ses-20210503_level-02B_run-010,18,0.014574898785425101
sub-cp008_ses-20210503_level-03B_run-002,58,0.04696356275303644
sub-cp008_ses-20210503_level-03B_run-005,60,0.048582995951417005
sub-cp008_ses-20210503_level-03B_run-011,18,0.014574898785425101
sub-cp008_ses-20210503_level-04B_run-004,58,0.04696356275303644
sub-cp008_ses-20210503_level-04B_run-006,16,0.012955465587044534
sub-cp008_ses-20210503_level-04B_run-009,18,0.014574898785425101
sub-cp009_ses-20210129_level-01B_run-001,191,0.15465587044534412
sub-cp009_ses-20210129_level-01B_run-007,60,0.048582995951417005
sub-cp009_ses-20210129_level-01B_run-012,58,0.04696356275303644
sub-cp009_ses-20210129_level-02B_run-003,191,0.15465587044534412
sub-cp009_ses-20210129_level-02B_run-008,58,0.04696356275303644
sub-cp009_ses-20210129_level-02B_run-010,60,0.048582995951417005
sub-cp009_ses-20210129_level-03B_run-002,191,0.15465587044534412
sub-cp009_ses-20210129_level-03B_run-005,58,0.04696356275303644
sub-cp009_ses-20210129_level-03B_run-011,60,0.048582995951417005
sub-cp009_ses-20210129_level-04B_run-004,193,0.1562753036437247
sub-cp009_ses-20210129_level-04B_run-006,60,0.048582995951417005
sub-cp009_ses-20210129_level-04B_run-009,60,0.048582995951417005
sub-cp011_ses-20210408_level-01B_run-001,20,0.016194331983805668
sub-cp011_ses-20210408_level-01B_run-007,20,0.016194331983805668
sub-cp011_ses-20210408_level-01B_run-012,20,0.016194331983805668
sub-cp011_ses-20210408_level-02B_run-003,20,0.016194331983805668
sub-cp011_ses-20210408_level-02B_run-008,20,0.016194331983805668
sub-cp011_ses-20210408_level-02B_run-010,20,0.016194331983805668
sub-cp011_ses-20210408_level-03B_run-002,20,0.016194331983805668
sub-cp011_ses-20210408_level-03B_run-005,20,0.016194331983805668
sub-cp011_ses-20210408_level-03B_run-011,20,0.016194331983805668
sub-cp011_ses-20210408_level-04B_run-004,20,0.016194331983805668
sub-cp011_ses-20210408_level-04B_run-006,20,0.016194331983805668
sub-cp011_ses-20210408_level-04B_run-009,20,0.016194331983805668
sub-cp012_ses-20210723_level-01B_run-001,16,0.012955465587044534
sub-cp012_ses-20210723_level-01B_run-007,18,0.014574898785425101
sub-cp012_ses-20210723_level-01B_run-012,18,0.014574898785425101
sub-cp012_ses-20210723_level-02B_run-003,16,0.012955465587044534
sub-cp012_ses-20210723_level-02B_run-008,20,0.016194331983805668
sub-cp012_ses-20210723_level-02B_run-010,20,0.016194331983805668
sub-cp012_ses-20210723_level-03B_run-002,18,0.014574898785425101
sub-cp012_ses-20210723_level-03B_run-005,20,0.016194331983805668
sub-cp012_ses-20210723_level-03B_run-011,20,0.016194331983805668
sub-cp012_ses-20210723_level-04B_run-004,18,0.014574898785425101
sub-cp012_ses-20210723_level-04B_run-006,20,0.016194331983805668
sub-cp012_ses-20210723_level-04B_run-009,20,0.016194331983805668
sub-cp013_ses-20210319_level-01B_run-001,20,0.016194331983805668
sub-cp013_ses-20210319_level-01B_run-007,20,0.016194331983805668
sub-cp013_ses-20210319_level-01B_run-012,20,0.016194331983805668
sub-cp013_ses-20210319_level-02B_run-003,20,0.016194331983805668
sub-cp013_ses-20210319_level-02B_run-008,20,0.016194331983805668
sub-cp013_ses-20210319_level-02B_run-010,20,0.016194331983805668
sub-cp013_ses-20210319_level-03B_run-002,20,0.016194331983805668
sub-cp013_ses-20210319_level-03B_run-005,16,0.012955465587044534
sub-cp013_ses-20210319_level-03B_run-011,20,0.016194331983805668
sub-cp013_ses-20210319_level-04B_run-004,20,0.016194331983805668
sub-cp013_ses-20210319_level-04B_run-006,20,0.016194331983805668
sub-cp013_ses-20210319_level-04B_run-009,20,0.016194331983805668
sub-cp014_ses-20211112_level-01B_run-001,0,0.0
sub-cp014_ses-20211112_level-01B_run-007,2,0.0016194331983805667
sub-cp014_ses-20211112_level-01B_run-012,2,0.0016194331983805667
sub-cp014_ses-20211112_level-02B_run-003,0,0.0
sub-cp014_ses-20211112_level-02B_run-008,2,0.0016194331983805667
sub-cp014_ses-20211112_level-02B_run-010,2,0.0016194331983805667
sub-cp014_ses-20211112_level-03B_run-002,2,0.0016194331983805667
sub-cp014_ses-20211112_level-03B_run-005,2,0.0016194331983805667
sub-cp014_ses-20211112_level-03B_run-011,2,0.0016194331983805667
sub-cp014_ses-20211112_level-04B_run-004,2,0.0016194331983805667
sub-cp014_ses-20211112_level-04B_run-006,2,0.0016194331983805667
sub-cp014_ses-20211112_level-04B_run-009,2,0.0016194331983805667
sub-cp015_ses-20210504_level-01B_run-001,16,0.012955465587044534
sub-cp015_ses-20210504_level-01B_run-007,16,0.012955465587044534
sub-cp015_ses-20210504_level-01B_run-012,16,0.012955465587044534
sub-cp015_ses-20210504_level-02B_run-003,20,0.016194331983805668
sub-cp015_ses-20210504_level-02B_run-008,16,0.012955465587044534
sub-cp015_ses-20210504_level-02B_run-010,16,0.012955465587044534
