run_key,source_run_path,issue_type,file_path,detail
sub-cp003_ses-20210206_level-01B_run-001,task-ils/sub-cp003/ses-20210206/level-01B_run-001,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,NaN
sub-cp003_ses-20210206_level-01B_run-001,task-ils/sub-cp003/ses-20210206/level-01B_run-001,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_hea.csv,NaN
sub-cp003_ses-20210206_level-01B_run-001,task-ils/sub-cp003/ses-20210206/level-01B_run-001,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_hea.csv,NaN
sub-cp003_ses-20210206_level-01B_run-001,task-ils/sub-cp003/ses-20210206/level-01B_run-001,invalid_sample_count,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,0
sub-cp003_ses-20210206_level-01B_run-001,task-ils/sub-cp003/ses-20210206/level-01B_run-001,placeholder_data_with_zero_samples,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,
sub-cp003_ses-20210206_level-01B_run-007,task-ils/sub-cp003/ses-20210206/level-01B_run-007,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv,NaN
sub-cp003_ses-20210206_level-01B_run-007,task-ils/sub-cp003/ses-20210206/level-01B_run-007,invalid_sample_count,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv,0
sub-cp003_ses-20210206_level-01B_run-007,task-ils/sub-cp003/ses-20210206/level-01B_run-007,placeholder_data_with_zero_samples,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv,
sub-cp003_ses-20210206_level-01B_run-012,task-ils/sub-cp003/ses-20210206/level-01B_run-012,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv,NaN
sub-cp003_ses-20210206_level-01B_run-012,task-ils/sub-cp003/ses-20210206/level-01B_run-012,invalid_sample_count,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv,0
sub-cp003_ses-20210206_level-01B_run-012,task-ils/sub-cp003/ses-20210206/level-01B_run-012,placeholder_data_with_zero_samples,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_dat.csv,
sub-cp003_ses-20210206_level-02B_run-003,task-ils/sub-cp003/ses-20210206/level-02B_run-003,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv,NaN
sub-cp003_ses-20210206_level-02B_run-003,task-ils/sub-cp003/ses-20210206/level-02B_run-003,invalid_sample_count,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv,0
sub-cp003_ses-20210206_level-02B_run-003,task-ils/sub-cp003/ses-20210206/level-02B_run-003,placeholder_data_with_zero_samples,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_dat.csv,
sub-cp003_ses-20210206_level-02B_run-008,task-ils/sub-cp003/ses-20210206/level-02B_run-008,invalid_effective_rate,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv,NaN
sub-cp003_ses-20210206_level-02B_run-008,task-ils/sub-cp003/ses-20210206/level-02B_run-008,invalid_sample_count,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv,0
