scope,run_key,field,existing_value,verified_value,severity,evidence,interpretation
run_modality,sub-cp003_ses-20210206_level-000_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-000_run-002,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-000_run-002,has_head_movement,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-000_run-002,has_xplane,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-01B_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-01B_run-007,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-01B_run-012,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-02B_run-003,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-02B_run-008,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-02B_run-010,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-03B_run-002,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-03B_run-005,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-03B_run-011,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-04B_run-004,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-04B_run-006,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp003_ses-20210206_level-04B_run-009,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-000_run-001,has_ecg,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-000_run-001,has_eda,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-000_run-001,has_respiration,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-01B_run-001,has_ecg,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-01B_run-001,has_eda,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-01B_run-001,has_respiration,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-02B_run-003,has_ecg,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-02B_run-003,has_eda,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-02B_run-003,has_respiration,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-03B_run-002,has_ecg,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-03B_run-002,has_eda,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-03B_run-002,has_respiration,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-04B_run-004,has_ecg,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-04B_run-004,has_eda,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp009_ses-20210129_level-04B_run-004,has_respiration,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp026_ses-20210716_level-000_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp027_ses-20210722_level-000_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp027_ses-20210722_level-01B_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
run_modality,sub-cp027_ses-20210722_level-03B_run-002,has_eye_tracking,True,False,high,No qualifying content evidence.,Existing filename-based availability differs from content-verified availability.
